Kecamatan,NPSN,Nama_sekolah,Jenjang,Status,Alamat lengkap,,Telepon,SPP,,Akreditasi,Peserta Didik,Rombel,Guru,Pegawai,R.Kelas,R.Lab,R.Perpus,Pendidik,Tenaga Kependidikan,Gaji Guru,Kurikulum,NPYP,Yayasan,Jumlah Sekolah Naungan Yayasan,Grade Yayasan Sekolah,Pimpinan Yayasan,PIC/Operator,Nomor Telepon_yayasan,Tanggal SK Pendirian,Umur,Tanggal SK Operasional,Sumber Listrik,meter listrik,luas tanah,harga_listrik_per_bulan,Harga Tanah Pasaran per kecamatan,By power (jumlah siswa * spp),alamat lengkap,estimasi harga tanah sekolah,Website,is_website,is_agama,is_surabaya,Telepon_sekolah,Nama_Kepsek,Nama_Operator_Sekolah,Email_sekolah,average peserta didik yayasan,Lintang,Bujur
KEC. TAMBAKSARI,20549723,SD MANDALA II,SD,SWASTA,"Jl. Ploso Timur X A / 1, Ploso, Kec. Tambaksari, Kota Surabaya, Jawa Timur",315044957,031315044957,,,A,306,12,16,5,13,2,1,16,10,,Kurikulum Merdeka,AE6898,MENARA KASIH,1,1,Ir. Roy Agustino Sely,,248440563,2007,18,2024,PLN,23000,3000,9384000000,8570000,,"Jl. Raya Taman Gununganyar Timur No. 3 Surabaya, Gunung Anyar, Kec. Gununganyar, Kota Surabaya, Jawa Timur",25710000000,-,0,0,1,85100986631,L. Maryanti,RIZKY NOVI ARTITA SARI,sdsmandaladua@yahoo.co.id,306,,
KEC. RUNGKUT,20561775,TK YAMASTHO,TK,SWASTA,"Jl. Raya Kali Rungkut No.157, Kali Rungkut, Kec. Rungkut, Kota Surabaya, Jawa Timur",315045047,031315045047,,,A,139,8,7,1,8,0,1,7,8,,Kurikulum Merdeka,AK3027,Yamastho,1,1,H. ABD. ROCHMAN,,031-8711366,2010,15,2018,PLN,900,437,367200000,7760000,,"Medokan Asri Utara Viii / G-1 Surabaya , Medokan Ayu, Kec. Rungkut, Kota Surabaya, Jawa Timur",3391120000,-,0,0,1,318796681,ASRORUN CHUMAIDAH,SITI RUCHANAH,yamastho.tkkita@gmail.com,139,,
KEC. GUNUNGANYAR,69763351,TK SHAFIRA,TK,SWASTA,"Jl. Raya Taman Gununganyar Timur No. 3 Surabaya, Gunung Anyar, Kec. Gununganyar, Kota Surabaya, Jawa Timur",315045048,031315045048,,,B,41,3,3,1,6,0,0,3,4,,Kurikulum Merdeka,,,0,0,-,-,-,2011,14,2023,PLN,2300,468,938400000,4900000,,"Jl. Kali Rungkut Mejoyo I/2, Kali Rungkut, Kec. Rungkut, Kota Surabaya, Jawa Timur",2293200000,-,0,0,1,318783527,Sandrawani,Sandrawani,shafiratk@gmail.com,41,,
KEC. RUNGKUT,20561724,TK ISLAM HARAPAN BUNDA,TK,SWASTA,"Medokan Asri Utara Viii / G-1 Surabaya , Medokan Ayu, Kec. Rungkut, Kota Surabaya, Jawa Timur",315045049,031315045049,,,B,32,2,2,1,2,0,0,2,3,,Kurikulum Merdeka,AE6613,An-Nisaa Islam Harapan Bunda,1,1,"Ir. Hj. Churiyah Aziza, MM",Zahrotunnisa,031 - 8781126,1999,26,2023,PLN,5500,500,2244000000,7760000,,"Jl. Gembong No. 48 Surabaya, Kapasan, Kec. Simokerto, Kota Surabaya, Jawa Timur",3880000000,-,0,1,1,318781126,Sumawati Salchah,ZAHROTUNNISA,bundaharapan95@gmail.com,32,,
KEC. RUNGKUT,20532992,SD ISLAM TARBIYATUL ATHFAL,SD,SWASTA,"Jl. Kali Rungkut Mejoyo I/2, Kali Rungkut, Kec. Rungkut, Kota Surabaya, Jawa Timur",315044958,031315044958,,,A,306,12,17,2,9,2,1,17,5,,Kurikulum Merdeka,AK3039,YPI TARBIYATUL ULUMUN NAHDLIYAH,1,1,"Drs. ABD. WAHIB, MM","Fatatik Nuryanah, S.Pd.I",318411876,2008,17,2018,PLN,4500,359,1836000000,7760000,,"Jl. Medokan Semampir Indah No.127 Surabaya, Medokan Semampir, Kec. Sukolilo, Kota Surabaya, Jawa Timur",2785840000,-,0,1,1,318411876,Zaenal Mahmudi,Ni'mah,sdi_tarbiyatul.athfal@yahoo.com,306,-7.319300,112.76900
KEC. SIMOKERTO,20532259,SMKS ABI SURABAYA,SMK,SWASTA,"Jl. Gembong No. 48 Surabaya, Kapasan, Kec. Simokerto, Kota Surabaya, Jawa Timur",315044959,031315044959,,,B,306,9,7,3,9,2,1,7,8,,Kurikulum Merdeka,AI7330,YAYASAN HARAPAN TAMA,1,1,TAN HERMAWAN SANTOSO,EKO C. SETYAWAN,313717188,1996,29,2024,PLN,10500,750,4284000000,6680000,,"Jl. Benteng No.18-20 Surabaya, Ujung, Kec. Semampir, Kota Surabaya, Jawa Timur",5010000000,http://www.facebook.com/pages/smk-artha-bodhi-iswara-surabaya/108131589211351?ref=hl&ref_typ,1,0,1,81232591689,Semaun,EKO CAHYO SETYAWAN,smebisurabaya@gmail.com,306,-7.239300,112.74530
KEC. SUKOLILO,69786332,SMA ISLAM TERPADU AL USWAH,SMA,SWASTA,"Jl. Medokan Semampir Indah No.127 Surabaya, Medokan Semampir, Kec. Sukolilo, Kota Surabaya, Jawa Timur",315045052,031315045052,1000000,,A,357,13,21,2,13,2,1,21,14,,Kurikulum Merdeka,AK3073,Ukhuwah Islamiyah,3,3,"Prof. Ir. Mukhtasor, M.Eng., Ph.D.",Riyek Koento Dahono,031-59173065,2013,12,2023,PLN,31000,2052,12648000000,12000000,,"Jl. Manyar Sambongan 119, Kertajaya, Kec. Gubeng, Kota Surabaya, Jawa Timur",24624000000,http://www.smait.aluswahsby.sch.id,1,1,1,315937630,Evi Fuji Andini,FELYA FEBIOLA,smaitaluswahsby1@gmail.com,393,-7.289900,112.75200
KEC. SEMAMPIR,69896277,SDIT AR-RAYYAN,SD,SWASTA,"Jl. Benteng No.18-20 Surabaya, Ujung, Kec. Semampir, Kota Surabaya, Jawa Timur",315044960,031315044960,,,B,307,13,21,3,14,0,1,26,17,,Kurikulum Merdeka,AK3179,Daarut Tarbiyyatil Ummah,5,5,FERIYAL BAWAZIR,Syamsul Habidin,313538619,2015,10,2024,PLN & DIESEL,33000,0,13464000000,6670000,,"Tidar 113 Surabaya, Petemon, Kec. Sawahan, Kota Surabaya, Jawa Timur",0,http://arrayyan.sch.id,1,0,1,313538619,Aiman Baswedan,"SYAMSUL HABIDIN, S.Pd",sditarrayyansby@gmail.com,168,,
KEC. GUBENG,20532515,SMP MARYAM,SMP,SWASTA,"Jl. Manyar Sambongan 119, Kertajaya, Kec. Gubeng, Kota Surabaya, Jawa Timur",315044963,031315044963,,,A,308,11,21,7,12,3,1,24,7,,Kurikulum Merdeka,AB4751,YAYASAN MARYAM SURABAYA,5,5,H. IBRAHIM BASWEDAN,Hadi Kurniawan,315016647,1977,48,2022,PLN,2200,16800,897600000,15630000,,"Jl. Nginden Semolo 100 B, Nginden Jangkungan, Kec. Sukolilo, Kota Surabaya, Jawa Timur",262584000000,http://www.smpmaryamsby.sch.id,1,0,1,315011668,Eko Yulianto,DEDE RIDWANULOH,smpmaryam@gmail.com,306,,
KEC. SAWAHAN,20532880,SD KATOLIK SANTO VINCENTIUS 1,SD,SWASTA,"Tidar 113 Surabaya, Petemon, Kec. Sawahan, Kota Surabaya, Jawa Timur",315044967,031315044967,,,A,310,14,19,10,18,4,1,18,10,,Kurikulum Merdeka,AB5311,Yayasan Santa Louisa,5,4,Agustina Suprapti,Kristiani Dewi Ayu Putri,0354-682596,2011,14,2025,PLN,4100,0,1672800000,16040000,,"Jl. Tidar 115 Surabaya, Petemon, Kec. Sawahan, Kota Surabaya, Jawa Timur",0,http://www.sdkstvincentius1sby.sch.id,1,1,1,315324978,"KUKUH RIYANTO, DRS",EUNIKE PRISKILA PUTRI PANGESTU,sdk.vincentius.sby@gmail.com,171,-7.257100,112.72240
KEC. SUKOLILO,20559778,TK ABA 39,TK,SWASTA,"Jl. Nginden Semolo 100 B, Nginden Jangkungan, Kec. Sukolilo, Kota Surabaya, Jawa Timur",315045056,031315045056,,,A,154,8,8,1,8,0,1,8,9,,Kurikulum Merdeka,AB4930,Pimpinan Daerah Muhammadiyah (PDM) Kota Surabaya,134,8,"Dikky Syadqomullah, M.HES",Danang Ardiyanto,031-5472759,2011,14,2023,PLN,15000,321,6120000000,12000000,,"Manukan Kulon Surabaya, Manukan Kulon, Kec. Tandes, Kota Surabaya, Jawa Timur",3852000000,-,0,0,1,315993210,KAROMAH,LUSITA NOVITASARI,tkaba39surabaya@gmail.com,184,,
KEC. SAWAHAN,20532732,SMP KATOLIK ST. VINCENTIUS SURABAYA,SMP,SWASTA,"Jl. Tidar 115 Surabaya, Petemon, Kec. Sawahan, Kota Surabaya, Jawa Timur",315044975,031315044975,,,A,311,10,18,15,16,7,1,18,15,,Kurikulum Merdeka,AB5311,Yayasan Santa Louisa,5,4,Agustina Suprapti,Kristiani Dewi Ayu Putri,0354-682596,1958,67,2025,PLN,33200,2520,13545600000,16040000,,"Jl. Kendangsari V, Kendangsari, Kec. Tenggilis Mejoyo, Kota Surabaya, Jawa Timur",40420800000,http://www.smpkstvincentius.sch.id/,1,1,1,315322913,MARIA WIDAWATI,"ONG, NIKITA EVANGELINE ONGKO W",smpkkstvincentius@gmail.com,171,-7.258100,112.72160
KEC. TANDES,20532502,SMP MUHAMMADIYAH 14 SURABAYA,SMP,SWASTA,"Manukan Kulon Surabaya, Manukan Kulon, Kec. Tandes, Kota Surabaya, Jawa Timur",315044979,031315044979,,,A,311,11,15,2,12,2,1,15,5,,Kurikulum Merdeka,AB4930,Pimpinan Daerah Muhammadiyah (PDM) Kota Surabaya,134,8,"Dikky Syadqomullah, M.HES",Danang Ardiyanto,031-5472759,1986,39,2022,PLN,23000,1500,9384000000,8890000,,"Jl. Pesarehan Beji No.1 Surabaya, Pakal, Kec. Pakal, Kota Surabaya, Jawa Timur",13335000000,http://www.smpm14sby.sch.id,1,1,1,317406686,Hanif Ashar,Farida Rachmawati,mupalasyes@gmail.com,184,,
KEC. TENGGILIS MEJOYO,20532656,SMP DHARMA WANITA KOTA SURABAYA,SMP,SWASTA,"Jl. Kendangsari V, Kendangsari, Kec. Tenggilis Mejoyo, Kota Surabaya, Jawa Timur",315044980,031315044980,,,A,314,11,16,6,15,4,1,16,6,,Kurikulum Merdeka,AB4713,Yayasan Dharma Wanita Persatuan Kota Surabaya,3,3,Ny. Chusnur Ismiati,riki setiawan,315024018,1991,34,2015,PLN,33000,6039,13464000000,10000000,,"Jl. Sekolahan No.41, Asemrowo, Kec. Asemrowo, Kota Surabaya, Jawa Timur",60390000000,-,0,0,1,318410628,Agus Winarno,Noviana,smpdharmawanitasurabaya@gmail.com,338,-7.324000,112.74630
KEC. PAKAL,69830408,SD ALAZHAR BEHJI,SD,SWASTA,"Jl. Pesarehan Beji No.1 Surabaya, Pakal, Kec. Pakal, Kota Surabaya, Jawa Timur",315044983,031315044983,,,A,315,12,15,2,12,1,1,15,14,,Kurikulum Merdeka,AH1339,Pondok Pesantren Darussalam Behji,4,4,nadhir,"MUHAMMAD ALI MAHRUS, S.Kom",Belum Tersedia,2013,12,2021,PLN,2700,644,1101600000,5700000,,"Jl. Manukan Tama No.1, Manukan Kulon, Kec. Tandes, Kota Surabaya, Jawa Timur",3670800000,-,0,1,1,7411318,"Ummu Waroh, S.pd.i",Akhmad Rifan,sdalazhar.behji@gmail.com,223,-7.242100,112.61220
KEC. ASEMROWO,20532122,SMAS TANWIR SURABAYA,SMA,SWASTA,"Jl. Sekolahan No.41, Asemrowo, Kec. Asemrowo, Kota Surabaya, Jawa Timur",315045061,031315045061,250000,,B,86,4,4,2,5,3,0,6,5,,Kurikulum Merdeka,AE7022,TANWIR SURABAYA,6,5,"Dr. Ir. H. Zainal Abidin, MM",Achmad Riulfi Hidayatullah,(031) 5312517,2004,21,2020,PLN,5000,7440,2040000000,7500000,,"Jojoran I No. 50, Mojo, Kec. Gubeng, Kota Surabaya, Jawa Timur",55800000000,http://smatanwirsurabaya.wordpress.com,0,0,1,315460686,Yuny Ekowati,Miftah,sma.tanwir@yahoo.com,181,,
KEC. TANDES,20571470,SMP UNGGULAN BAITUL FATAH,SMP,SWASTA,"Jl. Manukan Tama No.1, Manukan Kulon, Kec. Tandes, Kota Surabaya, Jawa Timur",315045062,031315045062,650000,,B,360,12,16,4,12,2,1,16,4,,Kurikulum Merdeka,AL8932,YAYASAN PENDIDIKAN ISLAM BAITUL FATTAH,3,3,"DRS. H.M. LUKMAN HAKIM, MM",FATHNA WARDAFINA,317416750,2009,16,2011,PLN,10600,1422,4324800000,8890000,,"Jl. Kendangsari V, Kendangsari, Kec. Tenggilis Mejoyo, Kota Surabaya, Jawa Timur",12641580000,http://www.baitulfaah.sch.id,1,0,1,317416750,Uswatun Chasanah,JULITA FIRDAUS,smpu.baitulfattah@gmail.com,259,-7.264100,112.66760
KEC. GUBENG,20532533,SMP MUHAMMADIYAH 9 SBY,SMP,SWASTA,"Jojoran I No. 50, Mojo, Kec. Gubeng, Kota Surabaya, Jawa Timur",315044985,031315044985,,,A,315,11,21,8,11,2,1,21,8,,Kurikulum Merdeka,AB4930,Pimpinan Daerah Muhammadiyah (PDM) Kota Surabaya,134,8,"Dikky Syadqomullah, M.HES",Danang Ardiyanto,031-5472759,1978,47,2013,PLN,33000,2306,13464000000,15630000,,"Jl. Ketintang Barat Iii / 198 B, Ketintang, Kec. Gayungan, Kota Surabaya, Jawa Timur",36042780000,http://smpm9sby.sch.id,1,1,1,315933289,Novi Amirul Fatah,sutrisno,smpmuhammadiyah9sby@gmail.com,184,-7.272500,112.76450
KEC. TENGGILIS MEJOYO,20532373,SMAS DHARMA WANITA SURABAYA,SMA,SWASTA,"Jl. Kendangsari V, Kendangsari, Kec. Tenggilis Mejoyo, Kota Surabaya, Jawa Timur",315045064,031315045064,500000,,A,361,12,13,8,16,5,1,13,8,,Kurikulum Merdeka,AB4713,Yayasan Dharma Wanita Persatuan Kota Surabaya,3,3,Ny. Chusnur Ismiati,riki setiawan,315024018,1983,42,2024,PLN,53000,6034,21624000000,10000000,,"Jl. Puri Widya Kencana Citraland, Lidah Kulon, Kec. Lakarsantri, Kota Surabaya, Jawa Timur",60340000000,http://smadhanisby.sch.id/,1,0,1,318418465,Kastin,Riki Setiawan,sma_dhani@ymail.com,338,-7.325000,112.74650
KEC. GAYUNGAN,69763397,KB ISLAM TERPADU WILDANI 2,KB,SWASTA,"Jl. Ketintang Barat Iii / 198 B, Ketintang, Kec. Gayungan, Kota Surabaya, Jawa Timur",315045065,031315045065,,,A,38,0,3,1,0,0,0,3,3,,Kurikulum Merdeka,AB4681,Yayasan Persyada Al Haromain Surabaya,5,3,"Drs. H. Soehardjoepri, M.Si","Halimatus Sa'diyah, S.Pd",318288067,2008,17,2021,PLN,6600,323,2692800000,10420000,,"Jl. Blauran Kidul Ii/21 Surabaya, Genteng, Kec. Genteng, Kota Surabaya, Jawa Timur",3365660000,-,0,1,1,318272081,NANING RETNANINGSIH,naning,kb.wildani2@gmail.com,209,,
KEC. LAKARSANTRI,20549499,SMAS CIPUTRA,SPK SMA,SWASTA,"Jl. Puri Widya Kencana Citraland, Lidah Kulon, Kec. Lakarsantri, Kota Surabaya, Jawa Timur",315045066,031315045066,9426000,,A,362,16,19,5,38,6,1,19,5,,Kurikulum Internasional,AI0208,Yayasan  Ciputra Pendidikan,5,5,Yunita Ciputra,Gabriela Surya,0317415017-18,1998,27,2020,PLN & DIESEL,74998,5000,30599184000,12670000,,"Jl. Bukit Bali B 3-6, Lakarsantri, Kec. Lakarsantri, Kota Surabaya, Jawa Timur",63350000000,http://sekolahciputra.sch.id,1,0,1,317415017,Mark Alexandro Hukom,Adek Sugiarto,school@sekolahciputra.sch.id,301,-7.293600,112.65150
KEC. GENTENG,20560449,TK AISYIYAH BUSTANUL ATHFAL 12,TK,SWASTA,"Jl. Blauran Kidul Ii/21 Surabaya, Genteng, Kec. Genteng, Kota Surabaya, Jawa Timur",315045067,031315045067,,,B,18,2,1,1,2,0,0,1,2,,Kurikulum Merdeka,AB4930,Pimpinan Daerah Muhammadiyah (PDM) Kota Surabaya,134,8,"Dikky Syadqomullah, M.HES",Danang Ardiyanto,031-5472759,2010,15,2023,PLN,2200,284,897600000,27590000,,"Jl. Pattimura No.24 Surabaya, Sono Kwijenan, Kec. Sukomanunggal, Kota Surabaya, Jawa Timur",7835560000,-,0,0,1,8977361915,Nur Astutik,Anggun Novita Sari,tkaisyiyah12blauran@gmail.com,184,,
KEC. LAKARSANTRI,69948594,KB KRISTEN BUAH HATI WEST CAMPUS,KB,SWASTA,"Jl. Bukit Bali B 3-6, Lakarsantri, Kec. Lakarsantri, Kota Surabaya, Jawa Timur",315045068,031315045068,,,A,47,4,4,1,4,0,0,4,6,,Kurikulum Internasional,AN2216,Yayasan Pendidikan Kristen Buah Hati,10,5,DR. Paul Gunadi,Kezia Widya Efrina,Belum Tersedia,2015,10,2020,PLN,19500,0,7956000000,12670000,,"Jl. Ampel Maghfur No. 22, Ampel, Kec. Semampir, Kota Surabaya, Jawa Timur",0,http://www.bchati.sch.id,1,1,1,317441034,MERINDA HARIONO,Candranila Puspitasari,admin_pgw@bchati.sch.id,256,,
KEC. SUKOMANUNGGAL,69763568,KB INTAN PERMATA HATI,KB,SWASTA,"Jl. Pattimura No.24 Surabaya, Sono Kwijenan, Kec. Sukomanunggal, Kota Surabaya, Jawa Timur",315045069,031315045069,,,A,44,4,4,2,3,0,0,4,2,,Kurikulum Internasional,AI7165,Yayasan Intan Eduka,10,5,Imamnuel Herman Prawiromaruto,SUMITO,318794040,2002,23,2021,PLN,97000,0,39576000000,13750000,,"Jl. Cacat Veteran No. 41, Pakal, Kec. Pakal, Kota Surabaya, Jawa Timur",0,http://www.iphschools.sch.id,1,0,1,7325662,Nina Pujiati,Fransiska Fitri Puji Wulandari,pgintanpermatahati@yahoo.co.id,107,,
KEC. SEMAMPIR,69812759,TK AL - IRSYAD,TK,SWASTA,"Jl. Ampel Maghfur No. 22, Ampel, Kec. Semampir, Kota Surabaya, Jawa Timur",315045070,031315045070,,,B,173,11,11,2,16,0,0,11,2,,Kurikulum Merdeka,AK3214,Yayasan Perguruan Al Irsyad Surabaya (YPAS),6,6,Insinyur Abdul Kadir Baraja,"Mokhammad Priyanto, S.Si",313291966,2009,16,2022,PLN,13000,775,5304000000,6670000,,"Jlidro 17, Sambikerep, Kec. Sambi Kerep, Kota Surabaya, Jawa Timur",5169250000,http://www.pgtkalirsyad.ypas.or.id,1,0,1,3135967003,Ida Nur Cahyaningsih,Hilaliyati,playgroup_tk@yahoo.co.id,214,,
KEC. PAKAL,20572027,SDIT PERMATA,SD,SWASTA,"Jl. Cacat Veteran No. 41, Pakal, Kec. Pakal, Kota Surabaya, Jawa Timur",315045071,031315045071,850000,,B,362,14,14,3,14,2,1,14,5,,Kurikulum Merdeka,AX1219,YAYASAN PENDIDIKAN ISLAM PERMATA SURABAYA,4,4,"Lutfiatul Ma'rifah, S.Pd",Sumari,3199161694,2010,15,2019,PLN & DIESEL,16500,1072,6732000000,5700000,,"Jl. Raya Bukit Palma 2, Babat Jerawat, Kec. Pakal, Kota Surabaya, Jawa Timur",6110400000,http://sitpermatasby.sch.id,1,0,1,3199161694,Rina Widya Tantri,"Kaspul Yulianto, S.M",sditpermatasby41@gmail.com,161,-7.241900,112.62260
KEC. SAMBI KEREP,20533009,SD KARITAS II,SD,SWASTA,"Jlidro 17, Sambikerep, Kec. Sambi Kerep, Kota Surabaya, Jawa Timur",315044988,031315044988,,,A,319,12,19,3,12,2,1,19,3,,Kurikulum Merdeka,AN2291,YOHANNES GABRIEL,38,5,Drs. Cornelius Triwidya Tjahja Utama,ERIC LEON LOUHENAPESSY,031-99535811,2011,14,2025,PLN,33000,2916,13464000000,12350000,,"Simo Pomahan Baru Barat Masjid No: 7 - 9, Simomulyo Baru, Kec. Sukomanunggal, Kota Surabaya, Jawa Timur",36012600000,-,0,0,1,317405553,Sukohadi Suwignyo,Theresia Tyas Sesanti,sdkatolikkaritas@gmail.com,149,-7.279000,112.68510
KEC. PAKAL,20574473,SMP CITRA BERKAT,SMP,SWASTA,"Jl. Raya Bukit Palma 2, Babat Jerawat, Kec. Pakal, Kota Surabaya, Jawa Timur",315044989,031315044989,,,A,321,12,23,2,12,5,1,23,3,,Kurikulum Merdeka,AA0547,YAYASAN CITRA BERKAT,5,5,JUNITA CIPUTRA,Elta Lidia Situmeang,2122556531,1910,115,1910,PLN,5499,0,2243592000,5700000,,"Tidar 115 A, Sawahan, Kec. Sawahan, Kota Surabaya, Jawa Timur",0,http://www.scbcitraberkat.sch.id,1,0,1,317404062,Adi Haryo Rosyamto,Willyngham Chrisopthomus Tjianggrawan,infoscb@citraberkat.sch.id,289,-7.252900,112.63040
KEC. SUKOMANUNGGAL,20531928,SD AN-NUR SURABAYA,SD,SWASTA,"Simo Pomahan Baru Barat Masjid No: 7 - 9, Simomulyo Baru, Kec. Sukomanunggal, Kota Surabaya, Jawa Timur",315044992,031315044992,,,A,322,12,16,1,7,1,1,16,16,,Kurikulum Merdeka,AX1402,YAYASAN PENDIDIKAN ISLAM AN-NUR SIMO,2,2,"KIBTIYAH, BA",NUR FAQIH,317191949,1996,29,2023,PLN,7700,600,3141600000,13750000,,"Jl. Dupak Bangunsari No. 63 Surabaya, Dupak, Kec. Krembangan, Kota Surabaya, Jawa Timur",8250000000,-,0,1,1,317483849,Nur Kumala Wardani,"CHOMSATUN, S.Pd",sdiannur.sby94@yahoo.com,193,-7.259900,112.70610
KEC. SAWAHAN,69763591,KB DON BOSCO,KB,SWASTA,"Tidar 115 A, Sawahan, Kec. Sawahan, Kota Surabaya, Jawa Timur",315045075,031315045075,500000,,A,20,3,3,0,3,0,0,3,3,,Kurikulum Merdeka,AB5311,Yayasan Santa Louisa,5,4,Agustina Suprapti,Kristiani Dewi Ayu Putri,0354-682596,1996,29,2020,PLN,23000,3720,9384000000,16040000,,"Jl. Medokan Sawah 228 Surabaya, Medokan Ayu, Kec. Rungkut, Kota Surabaya, Jawa Timur",59668800000,http://www.tkkdonboscosby.com,1,0,1,315647564,"MARIA IMACULATA SRI WAHYUNI, S.Pd",Emy,tkkdonbosco@yahoo.co.id,171,,
KEC. KREMBANGAN,20561517,TK AISYIYAH BUSTANUL ATHFAL 04,TK,SWASTA,"Jl. Dupak Bangunsari No. 63 Surabaya, Dupak, Kec. Krembangan, Kota Surabaya, Jawa Timur",315045076,031315045076,,,A,141,7,7,1,7,0,0,7,7,,Kurikulum Merdeka,AB4930,Pimpinan Daerah Muhammadiyah (PDM) Kota Surabaya,134,8,"Dikky Syadqomullah, M.HES",Danang Ardiyanto,031-5472759,2010,15,2022,PLN,11,224,4488000,9840000,,"Jl. Tanah Merah I/24, Tanah Kali Kedinding, Kec. Kenjeran, Kota Surabaya, Jawa Timur",2204160000,-,0,0,1,313573642,LILIK TARWIJAH,LILIK TARWIJAH,aisyiyahbustanul04@gmail.com,184,,
KEC. RUNGKUT,20561756,TK ISLAM AL-FAJAR,TK,SWASTA,"Jl. Medokan Sawah 228 Surabaya, Medokan Ayu, Kec. Rungkut, Kota Surabaya, Jawa Timur",315045077,031315045077,,,A,2,15,15,1,8,0,1,15,16,,Kurikulum Merdeka,,,0,0,-,-,-,2006,19,2019,PLN,14000,1233,5712000000,7760000,,"Jl. Sencaki 64, Simolawang, Kec. Simokerto, Kota Surabaya, Jawa Timur",9568080000,-,0,1,1,318709749,NURIL FIJRIYANI,YULI PUSPITA PRISTIWA,kbtkalfajar@gmail.com,2,,
KEC. KENJERAN,20533145,SD KURNIA INDAH,SD,SWASTA,"Jl. Tanah Merah I/24, Tanah Kali Kedinding, Kec. Kenjeran, Kota Surabaya, Jawa Timur",315044997,031315044997,,,B,324,11,9,3,6,1,1,9,4,,Kurikulum Merdeka,AW8550,YAYASAN PENDIDIKAN KURNIA INDAH,3,3,MAT SUKUR,"Anita Kurniawati, S.E",3137301673,1999,26,2022,PLN,2200,192,897600000,9390000,,"Jl. Kalisari Damen No. 32, Kalisari, Kec. Mulyorejo, Kota Surabaya, Jawa Timur",1802880000,http://kurnia-indah.inovasi.co.id,1,0,1,3137301673,Suprapti,Anita Kurniawati,sdskurniaindah@gmail.com,156,,
KEC. SIMOKERTO,20533101,SD NURUL HUDA II SURABAYA,SD,SWASTA,"Jl. Sencaki 64, Simolawang, Kec. Simokerto, Kota Surabaya, Jawa Timur",315044999,031315044999,,,A,324,12,14,1,11,3,1,14,15,,Kurikulum Merdeka,AK3164,Yayasan Pondok Pesantren Nurul Huda,4,4,"Drs. H.M. TASDIQ, M.Pd.I",TEGUH SLAMET,-,1966,59,2022,PLN,2300,202500,938400000,6680000,,"Jl. Lontar Pakuwon Indah No.Kavling Tanah Pk 01-10, Babatan, Kec. Wiyung, Kota Surabaya, Jawa Timur",1352700000000,-,0,1,1,82236568163,Fadhilatul Laila Chanif.s.pd,"Muhammad Husien Syafi'i,s.pd.i",sd.nurulhuda264@gmail.com,211,,
KEC. MULYOREJO,20531855,SD SWASTA AL-HUDA,SD,SWASTA,"Jl. Kalisari Damen No. 32, Kalisari, Kec. Mulyorejo, Kota Surabaya, Jawa Timur",315045003,031315045003,,,A,327,12,17,1,12,1,1,17,18,,Kurikulum Merdeka,AN2231,YAYASAN PENDIDIKAN MA'ARIF NU AL HUDA,3,3,H. MACHFUDZ,Mukhammad Wahyu Angga P,-,2009,16,2022,PLN,5500,840,2244000000,15750000,,"Jl. Tembok Dukuh Butulan No.7, Tembok Dukuh, Kec. Bubutan, Kota Surabaya, Jawa Timur",13230000000,-,0,1,1,315949232,Dewi Rosyida,RITA HANDAYANI,sd.alhuda32@gmail.com,210,-7.273600,112.80040
KEC. WIYUNG,69992751,KB SAMPOERNA (SAMPOERNA ACADEMY),KB,SWASTA,"Jl. Lontar Pakuwon Indah No.Kavling Tanah Pk 01-10, Babatan, Kec. Wiyung, Kota Surabaya, Jawa Timur",315045081,031315045081,,,B,75,0,3,1,0,0,0,3,5,,Kurikulum Internasional,AJ6119,Yayasan Putera Sampoerna,8,5,George Yudistira Irawan,Kurniyasari,215772340,2019,6,2020,PLN & DIESEL,55000,0,22440000000,13300000,,"Jl. Keputran Kejambon I/72 Surabaya, Embong Kaliasin, Kec. Genteng, Kota Surabaya, Jawa Timur",0,-,0,0,1,81231459111,CATHARINE LABOURE NIMAS AYU ANINDITA,FRANSISKA WIJAYA,kbsampoernaacademy.sby@gmail.com,84,,
KEC. BUBUTAN,20533072,SD MUHAMMADIYAH 20,SD,SWASTA,"Jl. Tembok Dukuh Butulan No.7, Tembok Dukuh, Kec. Bubutan, Kota Surabaya, Jawa Timur",315045082,031315045082,375000,,A,370,16,23,2,18,2,1,23,18,,Kurikulum Merdeka,AB4930,Pimpinan Daerah Muhammadiyah (PDM) Kota Surabaya,134,8,"Dikky Syadqomullah, M.HES",Danang Ardiyanto,031-5472759,2009,16,2021,PLN,77000,1407,3141600000,21280000,,"Jl. Griya Citra Asri Rm 18/19, Sememi, Kec. Benowo, Kota Surabaya, Jawa Timur",29940960000,http://www.sekolahkreatif20.sch.id,1,1,1,315354686,Muhammad Ain,Falih Fanani,sekolahkreatif20sby@gmail.com,184,-7.254500,112.72290
